City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
460,Ariano Irpino,IT,76.46,few clouds,41.1489,15.0833,Hotel Incontro
463,Isla Mujeres,MX,87.85,broken clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
465,Bandarban,BD,77.77,light rain,22.1965,92.2262,"Hilltop, Hafazgona, Bandarban"
467,Alta Floresta,BR,93.02,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
470,Mayumba,GA,76.12,overcast clouds,-3.432,10.6554,LIKWALE LODGE
471,Rudsar,IR,75.18,clear sky,37.1376,50.288,Hotel Bahar
477,Grand-Lahou,CI,81.88,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
479,Makakilo City,US,78.19,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
486,Limon,CR,82.29,broken clouds,10.0,-83.0333,Hotel Playa Bonita
487,Chake Chake,TZ,75.61,few clouds,-5.2459,39.7666,Hotel Archipelago
489,Mangan,IN,75.67,overcast clouds,27.5167,88.5333,Hotel Mout View
490,Belmonte,BR,77.94,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
494,Huaidian,CN,75.2,clear sky,33.4333,115.0333,Xihuan Hotel
495,Martapura,ID,77.09,broken clouds,-3.4167,114.85,Montana Hotel Syariah
497,Turbat,PK,88.77,clear sky,26.0023,63.044,Mubashar Quarters
498,Puerto Colombia,CO,84.29,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
499,Businga,CD,76.68,overcast clouds,3.3333,20.8833,
503,Campeche,MX,94.23,broken clouds,19.0,-90.5,
504,Marsh Harbour,BS,81.84,broken clouds,26.5412,-77.0636,Abaco Beach Resort
505,Dingle,PH,78.15,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
506,Kananga,CD,81.99,broken clouds,-5.8958,22.4178,Guest House Wood Land
507,Natal,BR,88.02,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
513,Tarabha,IN,87.03,moderate rain,20.7333,83.65,Saroj Kumbhar Residence
514,Muros,ES,81.16,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
515,Salalah,OM,86.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
518,Dungarpur,IN,87.8,few clouds,23.8333,73.7167,Gayatri Hotel
524,Conakry,GN,84.27,scattered clouds,9.538,-13.6773,Riviera Royal Hotel
525,Todos Santos,MX,75.78,clear sky,23.45,-110.2167,Hotel California Todos Santos
526,Dawei,MM,78.67,overcast clouds,14.0833,98.2,Hotel Dawei
528,Luba,GQ,79.92,light rain,3.4568,8.5547,
529,Caibarien,CU,90.72,broken clouds,22.5206,-79.4669,La Nena
530,Parrita,CR,84.69,overcast clouds,9.5201,-84.3225,Beso del Viento
533,Mabaruma,GY,80.71,broken clouds,8.2,-59.7833,Monty Brooms Guest House
535,Oistins,BB,84.29,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
540,Amalapuram,IN,86.68,scattered clouds,16.5833,82.0167,swayamprabha service apartments
542,Vila,PT,75.7,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
543,Shahreza,IR,78.96,clear sky,32.0339,51.8794,خوابگاه
545,Riverside,US,90.41,clear sky,33.7333,-116.0508,
549,Ailigandi,PA,80.31,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
550,Half Moon Bay,US,79.88,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
551,Waverly,US,79.14,overcast clouds,42.7392,-84.6208,"Crowne Plaza Lansing West, an IHG Hotel"
554,Salinas,US,79.0,haze,36.6777,-121.6555,Laurel Inn & Conference Center
558,Caucaia,BR,85.95,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
560,Jabinyanah,TN,84.0,clear sky,35.035,10.9081,maison belmabrouk
561,Yambio,SS,75.58,overcast clouds,4.5721,28.3955,Naivasha Hotel
563,Pajapan,MX,78.96,broken clouds,18.25,-94.7,Hotel Del Carmen
567,Harrison,US,92.1,scattered clouds,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
570,Ranong,TH,78.84,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
572,Las Varas,MX,92.68,few clouds,21.1667,-105.1667,Casa Palapas
573,Igaci,BR,79.47,scattered clouds,-9.5369,-36.6336,
576,Basco,PH,84.7,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
580,Dzilam Gonzalez,MX,94.68,broken clouds,21.2833,-88.9333,posadas
585,Luohe,CN,77.27,clear sky,33.5717,114.0353,BNB 29-Tunxi Old Street Branch
587,Carutapera,BR,82.51,broken clouds,-1.195,-46.02,Lidera
588,Gushikawa,JP,78.8,light rain,26.3544,127.8686,Kirari Guest House
593,Luganville,VU,78.75,few clouds,-15.5333,167.1667,The Espiritu Hotel
594,Ishigaki,JP,82.53,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
595,Vasai,IN,86.09,scattered clouds,19.47,72.8,Jivdani Kripa
596,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
600,Monteiro,BR,83.26,broken clouds,-7.8894,-37.12,Pousada Seu Tião
604,Kampot,KH,80.2,overcast clouds,10.6167,104.1833,Two Moons Hotel
610,Torbat-E Jam,IR,89.96,overcast clouds,35.244,60.6225,White building
611,Gazli,UZ,93.94,clear sky,40.1333,63.45,
612,Boisar,IN,84.24,scattered clouds,19.8,72.75,Hotel Express Inn Boisar
613,Ternate,ID,79.86,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
616,Puro,PH,81.7,broken clouds,12.4841,123.3827,
617,Paka,MY,78.73,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
618,Socorro,US,94.06,scattered clouds,31.6546,-106.3033,guarderia imss papalote
619,Koregaon,IN,79.57,clear sky,18.65,74.0833,hotel nisarg lounge
620,Upata,VE,85.19,scattered clouds,8.0086,-62.3989,Posada Villa Nela
621,Salinopolis,BR,84.4,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
622,Najran,SA,92.05,few clouds,17.4924,44.1277,محمد هادي ال فطيح
626,Calceta,EC,76.53,overcast clouds,-0.85,-80.1667,"Hostal ""San Placido"""
629,Fare,PF,79.81,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
631,Meulaboh,ID,75.47,light rain,4.1363,96.1285,Kost Pria
634,Komsomolskiy,UZ,79.52,scattered clouds,40.4272,71.7189,Ikathouse
635,Puerto Leguizamo,CO,82.47,overcast clouds,-0.1934,-74.7819,la casona de juancho
636,Horsham,GB,76.73,clear sky,51.064,-0.3272,Springfields Hotel
637,Kudahuvadhoo,MV,83.8,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
638,Lusambo,CD,81.59,broken clouds,-4.9667,23.45,
645,Faya,SA,84.72,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
648,Waddan,LY,89.67,clear sky,29.1614,16.139,محل الشريف محمد العايب
652,Nouakchott,MR,80.53,broken clouds,18.0858,-15.9785,HOTEL IMAN
657,Hollins,US,89.35,scattered clouds,37.3413,-79.9431,"Country Inn & Suites by Radisson, Roanoke, VA"
658,Mae Hong Son,TH,75.9,broken clouds,19.3003,97.9685,Baiyoke Chalet Hotel
669,Santo Antonio Do Ica,BR,78.4,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
671,Wawa,NG,90.3,light rain,9.9022,4.4192,
673,San Pedro,PH,79.83,broken clouds,14.35,121.0167,Esquivel's Garden And Resort
674,Lake City,US,91.8,clear sky,30.1897,-82.6393,Ramada Limited Lake City
679,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
